Counterparty,Instrument,USDSpots,USDFwdsSwapsTotal,USDSpotRank,USDFwdsSwapsRank
GDML,USDJPY,214130000.0,3430000.0,5.0,11.0
GDML,USDKRW,0.0,3603331.0,0,12.0
GDML,USDMXN,5000000.0,1397320.0,9.0,6.0
GDML,USDNOK,0.0,359921.0,0,7.0
GDML,USDPHP,0.0,370000.0,0,10.0
GDML,USDPLN,0.0,119771.0,0,6.0
GDML,USDSEK,0.0,218.0,0,11.0
GDML,USDSGD,23080000.0,308852.0,5.0,9.0
GDML,USDTHB,0.0,2348080.0,0,7.0
GDML,USDTWD,0.0,20130000.0,0,6.0
GDML,USDZAR,15554000.0,0.0,4.0,0
HSBCFX,EURUSD,0.0,91582.0,0,16.0
HSBCFX,USDIDR,0.0,6890102.0,0,4.0
HSBCFX,USDINR,0.0,238299.0,0,13.0
HSBCFX,USDPHP,0.0,21455.0,0,11.0
HSBCFX,USDTHB,0.0,9110394.0,0,4.0
HSBCFX,USDTWD,0.0,42502.0,0,14.0
HSBCFX,USDZAR,0.0,7750000.0,0,6.0
JPML,AUDUSD,0.0,134158.0,0,16.0
JPML,EURUSD,0.0,56237636.0,0,10.0
JPML,GBPUSD,0.0,15014.0,0,14.0
JPML,USDBRL,0.0,14980000.0,0,6.0
JPML,USDCAD,123040000.0,0.0,6.0,0
JPML,USDCHF,154660000.0,0.0,4.0,0
JPML,USDCNH,0.0,260034.0,0,8.0
JPML,USDCOP,0.0,1540000.0,0,6.0
JPML,USDIDR,0.0,21010000.0,0,3.0
JPML,USDILS,15810000.0,272252.0,2.0,7.0
JPML,USDINR,0.0,131510000.0,0,2.0
JPML,USDJPY,194720000.0,91097587.0,6.0,4.0
JPML,USDKRW,0.0,39770000.0,0,2.0
JPML,USDMXN,8380000.0,44870000.0,7.0,4.0
JPML,USDPHP,0.0,400000.0,0,9.0
JPML,USDSEK,0.0,9337614.0,0,4.0
JPML,USDSGD,8130000.0,0.0,9.0,0
JPML,USDTHB,12820000.0,0.0,3.0,0
JPML,USDTWD,0.0,35480000.0,0,4.0
JPML,USDZAR,60000.0,12780000.0,12.0,4.0
MSI,AUDUSD,186228404.0,483336668.0,4.0,2.0
MSI,EURCZK,431127.0,547105.0,10.0,3.0
MSI,EURGBP,375456.0,0.0,9.0,0
MSI,EURHUF,398278.0,0.0,12.0,0
MSI,EURNOK,2601143.0,0.0,14.0,0
MSI,EURPLN,0.0,0.0,0,0
MSI,EURSEK,3960238.0,0.0,11.0,0
MSI,EURUSD,147316360.0,242298590.0,8.0,4.0
MSI,GBPUSD,72810293.0,666455978.0,9.0,2.0
MSI,NZDUSD,7897544.0,36395610.0,15.0,5.0
MSI,USDBRL,0.0,3610000.0,0,9.0
MSI,USDCAD,27300000.0,5260679.0,9.0,5.0
MSI,USDCHF,54670000.0,85028798.0,9.0,3.0
MSI,USDCLP,0.0,7770000.0,0,3.0
